Periodo,PIB,StK,L,i
1990.1,1115169.6,1869142.4,29435.169,1
1990.2,1156561.6,1779762.2,29311.466,2
1990.3,1102849.5,1832130.9,29175.695,3
1990.4,1193416.6,1891707.2,29398.963,4
1991.1,1157545.4,1839474.1,30239.744,5
1991.2,1221763.6,1994672.1,30364.098,6
1991.3,1140121.7,1955175,30155.805,7
1991.4,1241096.5,2061594.4,30245.962,8
1992.1,1211845.5,2006676.1,31024.137,9
1992.2,1249936.4,2053364.5,31077.407,10
1992.3,1191295.6,2180337.4,31066.753,11
1992.4,1276024.9,2178158.1,31120.022,12
1993.1,1248725.3,2150025.4,32490.824,13
1993.2,1260352,2357212,32585.05,14
1993.3,1211579.7,2276136.7,32332.661,15
1993.4,1304126.9,2602518.2,32453.807,16
1994.1,1277838,2139302.1,33229.825,17
1994.2,1331435.1,2468176.3,33264.332,18
1994.3,1267386.3,2392836.7,33160.812,19
1994.4,1372142.3,2802409.1,33264.332,20
1995.1,1272241.6,1594371.9,33269.363,21
1995.2,1209052.7,1861680.8,32848.676,22
1995.3,1165580.2,1859820,32463.046,23
1995.4,1275557.5,2285259.5,32918.791,24
1996.1,1273078,1720267.5,33631.29,25
1996.2,1287401.3,1886040.6,33846.416,26
1996.3,1248665.1,1861680.8,33882.27,27
1996.4,1366292,2276136.7,34169.104,28
1997.1,1331526.9,1916460,35832.217,29
1997.2,1395247.5,2101139.1,35981.986,30
1997.3,1342048,2165128.3,36056.87,31
1997.4,1457278.3,2436297.7,36281.524,32
1998.1,1431861.7,2014718.9,36905.785,33
1998.2,1455594.1,2329094.5,37020.518,34
1998.3,1412882,2331424.8,37031.992,35
1998.4,1496902.4,2361931.2,37184.969,36
1999.1,1462740.2,2026843.5,37121.458,37
1999.2,1506307.5,2376145.3,37251.453,38
1999.3,1475502.4,2407236.9,37343.215,39
1999.4,1577232,2478068.8,37392.919,40
2000.1,1571295.9,2282975.4,39502.155,41
2000.2,1617057.4,2647139.2,38044.501,42
2000.3,1579482.7,2695219.1,37970.852,43
2000.4,1651503.3,2681776.6,38410.024,44
2001.1,1601651.8,2679096.2,38070.545,45
2001.2,1619638.4,2859021.5,38065.752,46
2001.3,1558906.3,2902230.1,38535.226,47
2001.4,1629065.4,2905133.8,38680.553,48
2002.1,1564985.8,2660408,38620.753,49
2002.2,1650489.2,2960859,38939.664,50
2002.3,1585255.7,2876227.2,38993.49,51
2002.4,1661515.6,3109554.2,39013.991,52
2003.1,1601885.5,2631303.9,39220.356,53
2003.2,1649347.6,2960859,39221.542,54
2003.3,1601803.3,2830573.8,39635.359,55
2003.4,1696549,3103341.4,39812.347,56
2004.1,1660214,2746917.8,39875.83,57
2004.2,1710905.6,2975700.3,40561.014,58
2004.3,1673248,2799608.1,40439.496,59
2004.4,1778826,2951989.7,40401.66,60
2005.1,1700329.6,2976403.2,40575.874,61
2005.2,1765160.1,3016830.2,40791.814,62
2005.3,1725789,3060092.9,41435.979,63
2005.4,1823100.8,3117781.2,41880.78,64
2006.1,1795544.9,3175420.7,41721.115,65
2006.2,1852802.2,3237953.6,42197.775,66
2006.3,1802587.8,3299251.1,42604.003,67
2006.4,1900767.3,3364472.6,42846.141,68
2007.1,1844783.8,3413416.2,42400.462,69
2007.2,1906175.5,3475087.3,42906.656,70
2007.3,1869887,3532520.4,42916.569,71
2007.4,1972745,3607343.9,44005.604,72
2008.1,1888602,3628190.5,43320.677,73
2008.2,1962992.6,3681526.1,43866.696,74
2008.3,1953058.4,3726708.6,43625.738,75
2008.4,1950745.3,3766645.5,43255.617,76
2009.1,1740072,3754343.5,42915.615,77
2009.2,1767287,3740104,43344.281,78
2009.3,1834526.3,3739241.3,43917.203,79
2009.4,1906465.7,3752449.9,44535.314,80
